iso3,country,concord_label,who_region,wb_income_2014,brain_adult_5yr_pct,glioblastoma_5yr_pct,glioblastoma_flag,diffuse_anap_astro_5yr,oligodendroglioma_5yr,concord_flag_less_reliable,concord_flag_not_age_std,high_quality_subset,oop_pct_che,gov_pct_che,che_pct_gdp,che_pc_ppp_usd,nurses_per_1000,physicians_per_1000,gdp_pc_ppp_usd,log_gdp_pc_ppp_usd,life_expectancy,radiotherapy_units_per_million,radiotherapy_year,oral_morphine_available_2013,radiotherapy_meets_iaea,morphine_consumption_mg_per_capita,right_to_health_in_constitution,icescr_ratified
ARG,Argentina,Argentina (five registries)‡,AMR,UMC,30.7,9.7,§,47.4,57.3,1,0,0,26.418429852499997,61.115779877499996,9.7004425525,1851.9315266987649,2.609,4.8535,19078.002318704697,9.856291239243289,75.85275,2.75055,2013,1,1,3.46,1,1
AUS,Australia,Australia (eight registries)*,WPR,HIC,30.2,12.2,,32.9,53.3,0,0,1,19.595758435,71.1450557725,8.59258771,3826.2355613572577,10.842499999999998,3.3225000000000002,42696.98053532823,10.661883483258046,81.94634146341463,4.02698,2013,1,1,46.74,0,1
AUT,Austria,Austria*,EUR,HIC,26.3,8.9,,36.2,62.6,0,0,1,19.323970795,72.34664917,10.29023695,4631.775828992757,6.85825,4.91175,44895.8387088845,10.712100390345942,80.90914634146345,5.41486,2013,1,1,33.82,0,1
BEL,Belgium,Belgium*,EUR,HIC,31.2,8.3,,38.3,44.1,0,0,1,20.728747844999997,75.15207099749999,10.512670995,4416.316107048522,10.495,2.9719999999999995,41858.118066793926,10.642041037196572,80.43536585365852,8.28495,2013,1,1,36.99,1,1
BGR,Bulgaria,Bulgaria*,EUR,UMC,,,,,,0,0,1,44.3035802825,54.185092922500004,7.21949911,1149.82859222261,4.7965,3.8514999999999997,15980.67730259935,9.679135602815023,74.21280487804877,2.07672,2013,1,1,3.61,1,1
BRA,Brazil,Brazil (six registries),AMR,UMC,28.1,18.0,§,50.1,68.4,1,0,0,29.135972022500003,44.3504180925,7.8615840675,1190.70636759651,7.661,1.888,15145.981933289177,9.625490556835949,74.1925,1.73686,2013,1,0,5.88,1,1
CAN,Canada,Canada (nine registries),AMR,HIC,29.9,10.6,,32.7,58.9,0,0,0,15.0831055625,70.433965685,10.520539042500001,4400.40463346491,9.371749999999999,2.2951666666666664,42090.744521904446,10.647583150415594,81.55335365853661,8.07238,2013,1,1,76.91,0,1
CHE,Switzerland,Switzerland (ten registries)‡,EUR,HIC,29.7,7.7,,28.3,49.5,0,0,0,23.43683243,33.680597305000006,10.25606823,5979.413743757283,15.620000000000001,3.8985,58254.31147420455,10.972573385413385,82.60914634146346,9.79,2010,1,1,40.92,1,1
CHL,Chile,Chile (four registries),AMR,HIC,24.2,5.1,,,,0,0,0,34.0032100675,47.46171856,7.028524635,1437.3857450879525,1.6932500000000001,1.65025,20401.705434513802,9.923373776069115,79.27574999999999,0.90807,2013,1,0,3.34,1,1
CHN,China,China (21 registries),WPR,UMC,32.0,16.9,,29.2,51.7,0,0,0,39.614914895,54.60346699,4.3886743775,473.34563653765446,1.7514999999999998,1.54125,10879.139053794286,9.29460238619382,76.05225,1.10496,2013,1,0,0.21,1,1
