country_label_concord,period,brain_adult_5yr_pct,flags
Algeria (three registries),2010-14,46.5,§
Argentina (five registries)‡,2010-14,30.7,§
Australia (eight registries)*,2010-14,30.2,
Austria*,2010-14,26.3,
Belarus (childhood)‡,2010-14,,
Belgium*,2010-14,31.2,
Brazil (six registries),2010-14,28.1,§
Bulgaria*,2010-14,,
Canada (nine registries),2010-14,29.9,
Chile (four registries),2010-14,24.2,
China (21 registries),2010-14,32.0,
Colombia (four registries),2010-14,20.8,§
Costa Rica*,2010-14,21.5,§
Croatia*,2010-14,42.2,
Cuba*,2010-14,,
Cyprus*,2010-14,25.2,§
Czech Republic*,2010-14,21.4,
Denmark*,2010-14,38.9,
Ecuador (five registries),2010-14,25.8,
Estonia*,2010-14,31.0,
Finland*,2010-14,37.6,
France (23 registries)‡,2010-14,27.2,
Germany (ten registries),2010-14,29.6,
Gibraltar*,2010-14,,
Greece (childhood)‡,2010-14,,
Guadeloupe*,2010-14,9.6,†§
Hong Kong*,2010-14,,
Iceland*,2010-14,29.2,
India (two registries),2010-14,30.0,†
Iran (Golestan),2010-14,,
Ireland*,2010-14,34.5,
Israel*,2010-14,32.8,
Italy (45 registries),2010-14,28.8,
Japan (16 registries),2010-14,46.3,§
Jordan*,2010-14,32.9,§
Korea*,2010-14,33.7,
Kuwait*,2010-14,31.8,
Latvia*,2010-14,26.1,
Lithuania*,2010-14,23.4,§
Malaysia (Penang),2010-14,28.3,†
Mali (Bamako),2010-14,,
Malta*,2010-14,28.0,
Martinique*,2010-14,35.8,
Mauritius*,2010-14,43.7,†
Mexico (childhood)‡,2010-14,,
Mongolia*,2010-14,,
Morocco (Casablanca),2010-14,,
Netherlands*,2010-14,28.2,
New Zealand*,2010-14,,
Nigeria (Ibadan),2010-14,54.9,†§
Norway*,2010-14,36.8,
Peru (Lima),2010-14,,
Poland (16 registries)*,2010-14,28.2,
Portugal (four registries)*,2010-14,22.7,
Puerto Rico*,2010-14,36.3,
Qatar*,2010-14,36.1,†§
Registries,2010-14,,
Romania (Cluj),2010-14,34.0,§
Russia (five registries),2010-14,22.8,
Singapore*,2010-14,34.4,
Slovakia*,2010-14,28.5,
Slovenia*,2010-14,24.8,
South Africa (Eastern Cape),2010-14,51.6,†§
Spain (ten registries),2010-14,27.4,
Sweden*,2010-14,31.6,
Switzerland (ten registries)‡,2010-14,29.7,
Taiwan*,2010-14,28.4,
Thailand (six registries),2010-14,14.7,
Turkey (nine registries),2010-14,35.6,
UK (four registries)*,2010-14,26.3,
USA (48 registries),2010-14,36.5,
Uruguay*,2010-14,,
