iso3,country,oop_pct_che,oop_pct_che_n_obs,gov_pct_che,gov_pct_che_n_obs,che_pct_gdp,che_pct_gdp_n_obs,che_pc_ppp_usd,che_pc_ppp_usd_n_obs,nurses_per_1000,nurses_per_1000_n_obs,physicians_per_1000,physicians_per_1000_n_obs,gdp_pc_ppp_usd,gdp_pc_ppp_usd_n_obs,life_expectancy,life_expectancy_n_obs,uhc_service_cov_index,uhc_service_cov_index_n_obs
ARG,Argentina,26.418429852499997,4,61.115779877499996,4,9.7004425525,4,1851.9315266987649,4,2.609,2,4.8535,2,19078.002318704697,4,75.85275,4,,0
AUS,Australia,19.595758435,4,71.1450557725,4,8.59258771,4,3826.2355613572577,4,10.842499999999998,4,3.3225000000000002,4,42696.98053532823,4,81.94634146341463,4,,0
AUT,Austria,19.323970795,4,72.34664917,4,10.29023695,4,4631.775828992757,4,6.85825,4,4.91175,4,44895.8387088845,4,80.90914634146345,4,,0
BEL,Belgium,20.728747844999997,4,75.15207099749999,4,10.512670995,4,4416.316107048522,4,10.495,4,2.9719999999999995,4,41858.118066793926,4,80.43536585365852,4,,0
BGR,Bulgaria,44.3035802825,4,54.185092922500004,4,7.21949911,4,1149.82859222261,4,4.7965,4,3.8514999999999997,4,15980.67730259935,4,74.21280487804877,4,,0
BRA,Brazil,29.135972022500003,4,44.3504180925,4,7.8615840675,4,1190.70636759651,4,7.661,1,1.888,2,15145.981933289177,4,74.1925,4,,0
CAN,Canada,15.0831055625,4,70.433965685,4,10.520539042500001,4,4400.40463346491,4,9.371749999999999,4,2.2951666666666664,3,42090.744521904446,4,81.55335365853661,4,,0
CHE,Switzerland,23.43683243,4,33.680597305000006,4,10.25606823,4,5979.413743757283,4,15.620000000000001,4,3.8985,4,58254.31147420455,4,82.60914634146346,4,,0
CHL,Chile,34.0032100675,4,47.46171856,4,7.028524635,4,1437.3857450879525,4,1.6932500000000001,4,1.65025,4,20401.705434513802,4,79.27574999999999,4,,0
CHN,China,39.614914895,4,54.60346699,4,4.3886743775,4,473.34563653765446,4,1.7514999999999998,4,1.54125,4,10879.139053794286,4,76.05225,4,,0
COL,Colombia,16.83267784,4,71.3609218575,4,6.9038316025,4,811.1657090976282,4,0.9855,4,1.7795,4,11855.387879588725,4,75.37525,4,,0
