n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,spearman_lo,spearman_hi,n_required_for_80pct_power,indicator,column,pearson_q_bh_within_outcome,spearman_q_bh_within_outcome
40,0.041116167351792104,0.8011168037194306,-0.35623741970036205,0.37560412507045254,-0.06661037650104205,0.6829974399871559,-0.41062904993048804,0.2748036958157504,4641,Out-of-pocket expenditure (% CHE),oop_pct_che,0.8901297819104784,0.8755663006733134
40,-0.019202534924813552,0.9063789618237136,-0.35127614656605505,0.337707714486117,0.127497889668896,0.4330371153941657,-0.23790348358146846,0.4799550554582727,21284,Government health expenditure (% CHE),gov_pct_che,0.9063789618237136,0.7217285256569429
40,0.09292878790309898,0.5684520429502592,-0.26521984643663005,0.4043501781632651,0.017356224862947578,0.9153463290093473,-0.28458979858575284,0.32610729116145865,907,Current health expenditure (% GDP),che_pct_gdp,0.8598217928752604,0.9153463290093473
40,0.22862748389874327,0.15590212044027038,-0.11637713870730856,0.5331704522681182,0.22478656633309402,0.1631622942149684,-0.11614712481227482,0.5179728226943311,148,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.35945862518951965,0.48725995639776987
40,0.21646287248102947,0.17972931259475983,-0.08207822644894584,0.517458437303339,0.20930669010397862,0.19490398255910796,-0.11968465768978519,0.5219113481708236,166,Nurses and midwives per 1000 population,nurses_per_1000,0.35945862518951965,0.48725995639776987
38,0.04604854280922304,0.7836808702475628,-0.41740326129405203,0.4478973118238812,-0.023856423867951587,0.8869470113396971,-0.3771441435912979,0.33810257157114704,3700,Physicians per 1000 population,physicians_per_1000,0.8901297819104784,0.9153463290093473
41,0.259550199260689,0.10126381923570538,-0.029015219461773628,0.5355161430287985,0.3057757655996969,0.05186886861725187,-0.021325231301543995,0.5953606123409102,115,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.35945862518951965,0.32023322297539314
41,0.08392825830381176,0.6018752550126822,-0.243419592970429,0.3786871555331679,0.06193919354455399,0.7004530405386508,-0.24207051040290506,0.34762673087752066,1113,Life expectancy at birth (years),life_expectancy,0.8598217928752604,0.8755663006733134
40,0.22614104875190702,0.16057462298460115,-0.11196689488477804,0.5034595941926469,0.15592457147145336,0.3366646895916716,-0.21852448266148639,0.47014555278620473,152,Radiotherapy units per million population,radiotherapy_units_per_million,0.35945862518951965,0.6733293791833432
43,0.2809916032364371,0.06796195544699403,0.010285735632706966,0.5272689142958498,0.28491599038621174,0.06404664459507863,-0.0197287598874293,0.5435451589761956,98,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.35945862518951965,0.32023322297539314
