outcome,indicator,test,p,estimate,n,q_bh_family_wide
brain_all,Out-of-pocket expenditure (% CHE),Pearson,0.8011168037194306,0.041116167351792104,40,0.9279834207980179
brain_all,Out-of-pocket expenditure (% CHE),Spearman,0.6829974399871559,-0.06661037650104205,40,0.9171679908398951
brain_all,Government health expenditure (% CHE),Pearson,0.9063789618237136,-0.019202534924813552,40,0.9623041756163727
brain_all,Government health expenditure (% CHE),Spearman,0.4330371153941657,0.127497889668896,40,0.8176088361419277
brain_all,Current health expenditure (% GDP),Pearson,0.5684520429502592,0.09292878790309898,40,0.9052711701093594
brain_all,Current health expenditure (% GDP),Spearman,0.9153463290093473,0.017356224862947578,40,0.9623041756163727
brain_all,Current health expenditure per capita (PPP USD),Pearson,0.15590212044027038,0.22862748389874327,40,0.5887076073717684
brain_all,Current health expenditure per capita (PPP USD),Spearman,0.1631622942149684,0.22478656633309402,40,0.5887076073717684
brain_all,Nurses and midwives per 1000 population,Pearson,0.17972931259475983,0.21646287248102947,40,0.5887076073717684
brain_all,Nurses and midwives per 1000 population,Spearman,0.19490398255910796,0.20930669010397862,40,0.590999172921166
brain_all,Physicians per 1000 population,Pearson,0.7836808702475628,0.04604854280922304,38,0.9279834207980179
brain_all,Physicians per 1000 population,Spearman,0.8869470113396971,-0.023856423867951587,38,0.9623041756163727
brain_all,GDP per capita (PPP USD),Pearson,0.10126381923570538,0.259550199260689,41,0.5887076073717684
brain_all,GDP per capita (PPP USD),Spearman,0.05186886861725187,0.3057757655996969,41,0.5887076073717684
brain_all,Life expectancy at birth (years),Pearson,0.6018752550126822,0.08392825830381176,41,0.9052711701093594
brain_all,Life expectancy at birth (years),Spearman,0.7004530405386508,0.06193919354455399,41,0.9255344794419881
brain_all,Radiotherapy units per million population,Pearson,0.16057462298460115,0.22614104875190702,40,0.5887076073717684
brain_all,Radiotherapy units per million population,Spearman,0.3366646895916716,0.15592457147145336,40,0.72478377521968
brain_all,Morphine consumption (mg/capita/year),Pearson,0.06796195544699403,0.2809916032364371,43,0.5887076073717684
brain_all,Morphine consumption (mg/capita/year),Spearman,0.06404664459507863,0.28491599038621174,43,0.5887076073717684
brain_all,Radiotherapy density meets IAEA threshold,Mann-Whitney,0.22614313163392386,1.3999999999999986,40,0.6073558392453955
brain_all,Oral morphine available in public sector (2013),Mann-Whitney,0.41191484612700824,1.3999999999999986,38,0.8066665736653911
brain_all,Right to health in constitution,Mann-Whitney,0.08955375838295068,-2.3999999999999986,43,0.5887076073717684
brain_all,ICESCR ratified,Mann-Whitney,1.0,1.3999999999999986,43,1.0
glioblastoma,Out-of-pocket expenditure (% CHE),Pearson,0.47208777312483075,0.11859722755141687,39,0.8217824198839646
glioblastoma,Out-of-pocket expenditure (% CHE),Spearman,0.7754583908490978,-0.04718509905042871,39,0.9279834207980179
glioblastoma,Government health expenditure (% CHE),Pearson,0.7577508174543388,-0.051016928550590174,39,0.9279834207980179
glioblastoma,Government health expenditure (% CHE),Spearman,0.7595437195524132,-0.0506277886807175,39,0.9279834207980179
glioblastoma,Current health expenditure (% GDP),Pearson,0.11297166639508092,-0.257875705779307,39,0.5887076073717684
glioblastoma,Current health expenditure (% GDP),Spearman,0.5118815789581308,-0.10824221219937404,39,0.8748521531284417
glioblastoma,Current health expenditure per capita (PPP USD),Pearson,0.4609922161225763,-0.12156501779977089,39,0.8176088361419277
