n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,spearman_lo,spearman_hi,n_required_for_80pct_power,indicator,column
24,-0.12520195468249878,0.5599473048622247,-0.5084724775362214,0.2859555459020954,-0.1465854858113408,0.49429734554670146,-0.5843236981827924,0.3144599419946218,499,Out-of-pocket expenditure (% CHE),oop_pct_che
24,0.13290631049606005,0.535848341924706,-0.31065517499567014,0.6260538341625096,0.2553284278078844,0.22852825737299487,-0.24173617875428785,0.686256947518814,443,Government health expenditure (% CHE),gov_pct_che
24,-0.05804251094734091,0.7876246631758035,-0.38158548166253536,0.25479756381785007,0.008264463591737313,0.9694273042771304,-0.41746572690288375,0.4123033113395259,2328,Current health expenditure (% GDP),che_pct_gdp
24,0.21854139294908756,0.30491769993260925,-0.17095299035498887,0.5981125098887697,0.24619402068017474,0.24618259941121778,-0.16572224795862858,0.6140680465040107,163,Current health expenditure per capita (PPP USD),che_pc_ppp_usd
24,0.22380731542889148,0.29311800439901975,-0.14219675583948377,0.5830082608225657,0.13353633277175553,0.5338993802098293,-0.31760373774962725,0.5530452450116599,155,Nurses and midwives per 1000 population,nurses_per_1000
24,-0.06725095311701776,0.7548681578723516,-0.410769391194626,0.3660705401492622,-0.00782949182375114,0.9710357177506622,-0.43959856682668386,0.43367942346541843,1734,Physicians per 1000 population,physicians_per_1000
25,0.277678710944985,0.17897433021462317,-0.0677070308835603,0.6137526920408833,0.3601385414713591,0.07699554064695659,-0.05544563333717978,0.6933496489659451,100,GDP per capita (PPP USD),gdp_pc_ppp_usd
25,0.12552517824760753,0.549929103498708,-0.2799618611388995,0.4510734220093643,0.1392843504408461,0.5066800441679313,-0.26346832631750894,0.48554615025270476,496,Life expectancy at birth (years),life_expectancy
24,0.12519412336220373,0.5599720471619872,-0.32204958984513693,0.5096473872227775,-0.026533277847156637,0.902053163637059,-0.4445142401995815,0.42340347684265056,499,Radiotherapy units per million population,radiotherapy_units_per_million
27,0.3744732788054,0.054300380442961795,0.07443792983847736,0.6420417026935468,0.32977100773945645,0.09299199209432116,-0.03189496039592756,0.6236334045747729,54,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita
