n,r,p,lo,hi,rho,rho_p,indicator,column,q_bh_within
32,-0.18903285840310471,0.3001246684033736,-0.5207568620162227,0.20256644190148915,-0.17763520005167188,0.33073138453624384,Out-of-pocket expenditure (% CHE),oop_pct_che,0.5002077806722893
32,0.10717543320258605,0.5593277215231397,-0.28581861357646104,0.5041582978829001,0.22273144278924803,0.22046444318411504,Government health expenditure (% CHE),gov_pct_che,0.7990396021759139
32,0.06021308799603514,0.743394009126014,-0.27657249671669104,0.380065753195036,0.04509624273757614,0.8063961146785155,Current health expenditure (% GDP),che_pct_gdp,0.9292425114075176
32,0.29372418012168455,0.1027493897990984,-0.11346871492544439,0.6094673946917603,0.31567369916303295,0.07840950706198956,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.256873474497746
32,0.2966343623109449,0.09922949951434193,-0.025746871677365776,0.5891771464025908,0.30339138914914027,0.09140951837517403,Nurses and midwives per 1000 population,nurses_per_1000,0.256873474497746
31,0.015019601670272102,0.93608341331341,-0.33145334223281264,0.40517874568632045,0.043153862543066156,0.8177001680555468,Physicians per 1000 population,physicians_per_1000,0.9360834133134099
33,0.32861124578637163,0.061877628247273456,-0.006975989524456425,0.6387656452686672,0.4390773920597942,0.010577371511816433,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.256873474497746
33,0.02109784129549412,0.9072265951263905,-0.3588067680694983,0.3215971212746153,0.01654688306582399,0.9271782912132004,Life expectancy at birth (years),life_expectancy,0.9360834133134099
32,0.23374617010390736,0.19789066166183106,-0.16958559808643822,0.5686470150926093,0.12978918641546303,0.4789507732712157,Radiotherapy units per million population,radiotherapy_units_per_million,0.3957813233236621
35,0.3437846346526253,0.04316648048066833,0.08500175474224105,0.5991324589495817,0.367138258259359,0.030041839867006575,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.256873474497746
