n,r,p,lo,hi,rho,rho_p,indicator,column,q_bh_within
29,-0.0882749075179954,0.6488537125872738,-0.6138243626346218,0.43025846493672276,-0.3029929817292155,0.1101072780451153,Out-of-pocket expenditure (% CHE),oop_pct_che,0.9822928607215898
29,0.06240398072822237,0.7477654831552911,-0.2742317685647668,0.3538307072830988,0.042862421805596344,0.8252721360478013,Government health expenditure (% CHE),gov_pct_che,0.9822928607215898
29,0.055493908929513815,0.7749403132662056,-0.35630433688280283,0.5405067268990812,0.283039785371438,0.1368071828759745,Current health expenditure (% GDP),che_pct_gdp,0.9822928607215898
29,-0.0230612957311253,0.9054800127684961,-0.38155941114426856,0.4331307176767956,0.14829412601706324,0.4426534840210652,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.9822928607215898
29,-0.02544969006549278,0.895741103690252,-0.3306094829172652,0.3783553928421858,0.1263702435992582,0.5136164901402165,Nurses and midwives per 1000 population,nurses_per_1000,0.9822928607215898
28,0.14032154788466147,0.47634416682480024,-0.1401531574208921,0.41702115509697035,0.10811550669194986,0.5839528655648967,Physicians per 1000 population,physicians_per_1000,0.9822928607215898
30,-0.20699630613361208,0.2724095960918254,-0.49618567474113356,0.2341676876501527,-0.005784848183532511,0.9757968851512582,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.9822928607215898
30,-0.3437974312155192,0.06285695606848092,-0.679059175876882,0.19742721262601817,-0.10012237240729346,0.5985987455011457,Life expectancy at birth (years),life_expectancy,0.6285695606848092
29,-0.004311023763437935,0.9822928607215898,-0.3215004627138401,0.38239972414108286,0.19632959873023154,0.30737828061298667,Radiotherapy units per million population,radiotherapy_units_per_million,0.9822928607215898
31,0.11005431334809136,0.5556126832785202,-0.2454251581298054,0.5387289827180415,0.3252344002817336,0.07421129797161685,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.9822928607215898
