n,r,p,lo,hi,rho,rho_p,indicator,column,q_bh_within
32,0.039950851594945255,0.8281373131033276,-0.2735325622062728,0.49253277608905593,-0.010638300735533363,0.9539186523068288,Out-of-pocket expenditure (% CHE),oop_pct_che,0.8876886537683542
32,-0.025996183727721,0.8876886537683542,-0.5598203185055949,0.289150203439896,-0.16599417526996021,0.3638955528907819,Government health expenditure (% CHE),gov_pct_che,0.8876886537683542
32,-0.4577475311807807,0.008430494725834825,-0.7595134690065554,0.12067903928206178,-0.20597951251730978,0.25804745336008905,Current health expenditure (% GDP),che_pct_gdp,0.042152473629174125
32,-0.18361810237915874,0.31443415910419115,-0.4191996851912345,0.16170331317696096,-0.18690393878462924,0.3057007722264329,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.3930426988802389
32,-0.2545571873076283,0.1597280248829188,-0.5196811802852023,0.058436888315980484,-0.3263023622157561,0.0683551110677833,Nurses and midwives per 1000 population,nurses_per_1000,0.3194560497658376
31,-0.3185113293452658,0.08075420970448725,-0.59961382195332,0.018011602401840247,-0.3571429734669227,0.0485677073078161,Physicians per 1000 population,physicians_per_1000,0.2691806990149575
33,0.45246194090950764,0.008198686591529536,-0.22218375802381216,0.7278108918282987,0.08561874825086024,0.6356787696795712,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.042152473629174125
33,-0.20542306433664806,0.25144497136043253,-0.4176644236970173,0.07929794280926225,-0.2162207841569576,0.2268317056461761,Life expectancy at birth (years),life_expectancy,0.35920710194347505
32,-0.28164337151305685,0.11837494856759839,-0.5929929888010235,0.17953674085393867,-0.15058698110125673,0.4106993217381981,Radiotherapy units per million population,radiotherapy_units_per_million,0.295937371418996
35,-0.22562912461582824,0.19249188006497917,-0.4889005274055042,0.22432535272936435,-0.15457924733263642,0.3752743945645055,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.32081980010829864
