n,r,p,lo,hi,rho,rho_p,indicator,column,q_bh_within
29,0.04691535121623208,0.8090385801118453,-0.40658695925378757,0.37449035822373916,-0.1004926108374384,0.6039832894635095,Out-of-pocket expenditure (% CHE),oop_pct_che,0.8161467495806878
29,-0.21904014670163802,0.25361536602539253,-0.5402995706338567,0.06918639966177949,-0.2467980295566502,0.19682138745185018,Government health expenditure (% CHE),gov_pct_che,0.3656188800105088
29,0.15533232449367923,0.4210525713880974,-0.18455960567852334,0.45364905438232056,0.09999999999999998,0.6057667970556471,Current health expenditure (% GDP),che_pct_gdp,0.5263157142351217
29,0.31165697771274853,0.09980849570465943,-0.08661099138614024,0.631739385202548,0.3073891625615763,0.10478700580208226,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.3656188800105088
29,0.24702935358649444,0.1963885381727972,-0.1534389533504119,0.6007467867652543,0.15615763546798028,0.4185584651784069,Nurses and midwives per 1000 population,nurses_per_1000,0.3656188800105088
28,0.046013725392741046,0.8161467495806878,-0.39077004469327525,0.4000303043590705,0.0361247947454844,0.855191494848375,Physicians per 1000 population,physicians_per_1000,0.8161467495806878
30,0.2254211647477895,0.23102992637339234,-0.15347293930275965,0.5806510588373551,0.2418242491657397,0.1979363154802169,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.3656188800105088
30,0.21409553001624693,0.25593321600735613,-0.22162472750693482,0.6218160784466851,0.15194660734149054,0.42281175692313056,Life expectancy at birth (years),life_expectancy,0.3656188800105088
29,0.2548372458084073,0.182162481393345,-0.09950906535033503,0.5790153599116488,0.2684729064039408,0.1590769820830177,Radiotherapy units per million population,radiotherapy_units_per_million,0.3656188800105088
31,0.2333701940123039,0.20641418122924995,-0.12543833782300798,0.533062750406041,0.2237903225806452,0.22619053635315375,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.3656188800105088
