n,r,p,lo,hi,rho,rho_p,indicator,column,q_bh_within
27,-0.3828196692537026,0.04873805476666191,-0.6547960505594207,-0.019354448433722787,-0.2732824554877903,0.16781915963127397,Out-of-pocket expenditure (% CHE),oop_pct_che,0.24369027383330955
27,0.3487024019001356,0.074650702582764,0.01977915366272045,0.7538879677482822,0.45648857089859946,0.016691480842300554,Government health expenditure (% CHE),gov_pct_che,0.24883567527588002
27,0.05381297745796115,0.7897908851812717,-0.3225451912582368,0.4195318665057027,0.10687023398963866,0.5957231301756323,Current health expenditure (% GDP),che_pct_gdp,0.7897908851812717
27,0.20163426900222908,0.31318904465929237,-0.17101446534667444,0.6082290613483902,0.2793893260014839,0.1581436791689118,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.5219817410988207
27,0.24451268031334078,0.21900873384275532,-0.10948275670876545,0.6273056201397192,0.28396947888675417,0.15115202777596679,Nurses and midwives per 1000 population,nurses_per_1000,0.43801746768551064
27,-0.12974640039679214,0.5189168146087628,-0.44205703969782556,0.2852770341347505,-0.025038169106143916,0.9013429840423839,Physicians per 1000 population,physicians_per_1000,0.5765742384541809
27,0.24497253387923526,0.2181160553232227,-0.1767462508975221,0.6491156557344437,0.2955725328627721,0.13443443508848613,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.43801746768551064
27,0.13347606302353712,0.5068674053423143,-0.31117160384403375,0.4668316293816064,0.11603053976017913,0.5643882884619285,Life expectancy at birth (years),life_expectancy,0.5765742384541809
27,0.1656171590734526,0.4090452748678533,-0.2763389864989609,0.601830867001117,0.17862596252553892,0.37268889018602713,Radiotherapy units per million population,radiotherapy_units_per_million,0.5765742384541809
27,0.41361460397975225,0.03198485338437615,0.05796358557834134,0.7098478191088454,0.4494656698078518,0.01866953451620662,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.24369027383330955
