n,r,p,lo,hi,rho,rho_p,indicator,column,q_bh_within
25,0.10681192423268678,0.6113302244877425,-0.3069147077009696,0.50044112770816,-0.030810734712441133,0.8837627128197202,Out-of-pocket expenditure (% CHE),oop_pct_che,0.6113302244877425
25,-0.1219618817949808,0.5613991985010385,-0.4476998075297363,0.13265271241703835,-0.14789152661971747,0.48050256031401717,Government health expenditure (% CHE),gov_pct_che,0.6113302244877425
25,-0.24161994481227433,0.24459006137539013,-0.614972452537978,0.175654686748616,-0.21028326441241074,0.313009823261038,Current health expenditure (% GDP),che_pct_gdp,0.4076501022923169
25,-0.29254727849883905,0.15586471035529922,-0.632005856929939,0.06935866692692888,-0.3531680466413565,0.08331940333760261,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.3619193306932585
25,-0.4705269173405579,0.017608693354058038,-0.7452220167522488,-0.12789405112153213,-0.5129987329621448,0.008731404881292738,Nurses and midwives per 1000 population,nurses_per_1000,0.0880434667702902
25,-0.13887780539833272,0.5079335341116634,-0.4980782251904426,0.177939823210815,-0.2526480246420173,0.2230513430031668,Physicians per 1000 population,physicians_per_1000,0.6113302244877425
25,-0.3494139832991857,0.08688378436204537,-0.6497292172303366,-0.024075116648923183,-0.4016949538134512,0.046548253356904726,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.28961261454015125
25,-0.4989597208053833,0.011115933824571957,-0.7383721074978452,-0.20402847122997164,-0.4987487681576408,0.011155503846021124,Life expectancy at birth (years),life_expectancy,0.0880434667702902
25,-0.2133203805947997,0.3059099651018691,-0.5360389501954099,0.11748855981377374,-0.20026977563086734,0.3371278921638079,Radiotherapy units per million population,radiotherapy_units_per_million,0.43701423585981297
25,-0.2764653523020208,0.18095966534662924,-0.6302888940921226,0.14803033894327533,-0.28499929609008046,0.16731644049094208,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.3619193306932585
